date,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96
2019/01/01,"0,014","0,032","0,029","0,015","0,013","0,012","0,025","0,03","0,02","0,011","0,011","0,01","0,03","0,028","0,012","0,011","0,011","0,017","0,029","0,024","0,011","0,01","0,01","0,019","0,028","0,024","0,009","0,01","0,01","0,019","0,028","0,026","0,022","0,022","0,021","0,03","0,03","0,021","0,104","0,018","0,02","0,032","0,038","0,025","0,009","0,025","0,009","0,061","0,037","0,025","0,027","0,031","0,047","0,143","0,128","0,039","0,038","0,056","0,041","0,026","0,026","0,043","0,056","0,212","0,324","0,208","0,198","0,197","0,455","0,245","0,052","0,053","0,037","0,323","0,136","0,056","0,042","0,18","0,242","0,279","0,249","0,242","0,229","0,056","0,043","0,062","0,058","0,042","0,036","0,039","0,059","0,049","0,033","0,022","0,053","0,024"
2019/01/02,"0,058","0,116","0,565","0,024","0,006","0,009","0,024","0,019",0,0,0,"0,001","0,019","0,001",0,0,0,"0,014","0,011",0,0,0,0,"0,02",0,0,0,0,"0,067","0,14","0,054","0,043","0,127","0,065","0,074","0,06","0,043","0,043","0,046","0,076","0,078","0,033","0,022","0,023","0,028","0,055","0,051","0,022","0,022","0,022","0,079","0,603","0,107","0,069","0,091","0,111","0,121","0,521","0,36","0,094","0,07","0,097","0,08","0,064","0,05","0,052","0,164","0,101","0,064","0,053","0,049","0,048","0,058","0,077","0,075","0,046","0,059","0,078","0,124","0,127","0,123","0,189","0,079","0,081","0,123","0,116","0,078","0,069","0,088","0,068","0,082","0,081",0,"0,008","0,01","0,019"
2019/01/03,"0,039","0,033","0,013","0,01","0,011","0,033","0,036","0,028","0,009","0,012","0,01","0,03","0,036","0,028","0,01","0,01","0,01","0,029","0,037","0,029","0,01","0,01","0,012","0,026","0,135","0,056","0,034","0,03","0,029","0,044","0,063","0,02","0,026","0,044","0,069","0,065","0,036","0,036","0,039","0,068","0,065","0,044","0,037","0,019","0,03","0,039","0,033","0,016","0,099","0,057","0,065","0,05","0,036","0,036","0,047","0,068","0,064","0,037","0,086","0,052","0,068","0,068","0,052","0,04","0,039","0,08","0,135","0,411","0,05","0,054","0,081","0,241","0,478","0,031","0,033","0,071","0,067","0,049","0,058","0,08","0,16","0,369","0,295","0,289","0,193","0,06","0,089","0,052","0,03","0,023","0,031","0,045","0,048","0,038","0,029","0,02"
2019/01/04,"0,029","0,031","0,012","0,001","0,002","0,01","0,03","0,026",0,0,"0,001","0,016","0,028","0,021",0,0,0,"0,016","0,027","0,022",0,"0,001",0,"0,016","0,036","0,043","0,001",0,"0,023","0,04","0,048","0,041","0,022","0,02","0,021","0,513","0,105","0,074","0,069","0,034","0,032","0,042","0,048","0,039","0,019","0,019","0,018","0,038","0,05","0,042","0,019","0,092","0,073","0,072","0,069","0,429","0,48","0,105","0,123","0,119","0,08","0,071","0,1","0,206","0,15","0,09","0,063","0,094","0,073","0,058","0,038","0,056","0,076","0,081","0,05","0,038","0,036","0,068","0,08","0,091","0,07","0,064","0,08","0,068","0,054","0,049","0,048","0,075","0,083","0,101","0,293","0,261","0,029","0,023","0,046","0,351"
2019/01/05,"0,234","0,013","0,01","0,022","0,031","0,031","0,017","0,012","0,012","0,033","0,032","0,026","0,011","0,01","0,021","0,032","0,03","0,015","0,01","0,011","0,028","0,031","0,023","0,011","0,01","0,017","0,032","0,031","0,015","0,015","0,013","0,027","0,032","0,026","0,013","0,063","0,049","0,033","0,037","0,029","0,021","0,028","0,036","0,033","0,028","0,015","0,015","0,028","0,032","0,023","0,016","0,038","0,036","0,044","0,069","0,445","0,208","0,106","0,072","0,304","0,059","0,07","0,06","0,103","0,343","0,029","0,049","0,047","0,056","0,031","0,167","0,077","0,227","0,042","0,046","0,019","0,034","0,035","0,02","0,015","0,016","0,031","0,046","0,038","0,179","0,239","0,257","0,258","0,248","0,243","0,104","0,056","0,052","0,038","0,026","0,012"
2019/01/06,"0,023","0,053","0,049","0,022","0,022","0,021","0,042","0,05","0,033","0,018","0,019","0,017","0,05","0,047","0,02","0,018","0,017","0,028","0,048","0,041","0,018","0,017","0,016","0,033","0,046","0,04","0,016","0,016","0,017","0,03","0,047","0,043","0,037","0,036","0,036","0,051","0,049","0,035","0,174","0,031","0,034","0,052","0,063","0,041","0,016","0,041","0,016","0,101","0,063","0,041","0,045","0,053","0,077","0,24","0,215","0,063","0,062","0,095","0,068","0,044","0,043","0,072","0,094","0,355","0,542","0,348","0,33","0,33","0,759","0,411","0,086","0,089","0,062","0,54","0,227","0,093","0,071","0,301","0,405","0,467","0,417","0,403","0,382","0,095","0,071","0,104","0,097","0,07","0,06","0,065","0,098","0,084","0,054","0,038","0,086","0,04"
2019/01/07,"0,058","0,045","0,019","0,022","0,019","0,045","0,059","0,043","0,019","0,021","0,019","0,041","0,059","0,047","0,019","0,021","0,02","0,034","0,06","0,053","0,019","0,019","0,02","0,025","0,06","0,078","0,049","0,019","0,018","0,021","0,051","0,051","0,135","0,02","0,034","0,089","0,089","0,142","0,064","0,018","0,017","0,034","0,063","0,061","0,021","0,018","0,018","0,017","0,064","0,061","0,033","0,019","0,018","0,018","0,164","0,129","0,209","1,358","0,276","0,063","0,104","0,111","0,061","0,019","0,033","0,04","0,044","0,064","0,052","0,018","0,018","0,02","0,036","0,063","0,061","0,018","0,082","0,053","0,073","0,092","0,099","0,141","0,127","0,051","0,157","0,103","0,067","0,049","0,05","0,042","0,076","0,069","0,04","0,027","0,025","0,024"
2019/01/08,"0,028","0,026","0,015","0,008","0,008","0,01","0,025","0,026","0,016","0,009","0,009","0,008","0,02","0,026","0,02","0,01","0,008","0,009","0,014","0,027","0,026","0,01","0,009","0,009","0,008","0,03","0,037","0,016",0,0,0,"0,062","0,05","0,047","0,031","0,029","0,031","0,05","0,319","0,107","0,055","0,044","0,042","0,351","0,145","0,049","0,04","0,029","0,03","0,029","0,036","0,05","0,046","0,146","0,702","0,595","0,314","0,06","0,049","0,048","0,062","0,068","0,064","0,061","0,059","0,034","0,048","0,05","0,029","0,03","0,029","0,053","0,084","0,052","0,043","0,042","0,013","0,018","0,009","0,003","0,01","0,129","0,184","0,223","0,18","0,192","0,198","0,195","0,181","0,185","0,045","0,023","0,065","0,288","0,043","0,043"
2019/01/09,"0,056","0,111","0,562","0,02","0,004","0,004","0,023","0,015",0,0,0,0,"0,006",0,0,0,0,0,"0,005",0,0,0,0,"0,004",0,0,0,0,"0,069","0,144","0,058","0,044","0,122","0,06","0,069","0,056","0,039","0,038","0,043","0,071","0,074","0,028","0,017","0,019","0,023","0,051","0,047","0,018","0,018","0,017","0,074","0,599","0,102","0,064","0,088","0,106","0,116","0,516","0,356","0,09","0,065","0,094","0,076","0,058","0,046","0,047","0,16","0,097","0,058","0,051","0,044","0,044","0,052","0,073","0,071","0,041","0,063","0,082","0,127","0,129","0,128","0,192","0,08","0,085","0,127","0,119","0,08","0,074","0,09","0,071","0,085","0,085",0,0,0,"0,012"
2019/01/10,"0,041","0,035","0,015","0,012","0,013","0,033","0,039","0,03","0,012","0,013","0,013","0,032","0,037","0,03","0,013","0,012","0,011","0,031","0,039","0,031","0,012","0,013","0,013","0,029","0,136","0,059","0,036","0,032","0,01","0,025","0,047","0,002","0,005","0,023","0,048","0,044","0,016","0,016","0,017","0,047","0,045","0,023","0,016",0,"0,008","0,018","0,011",0,"0,074","0,036","0,044","0,029","0,016","0,015","0,026","0,046","0,045","0,016","0,065","0,031","0,049","0,045","0,031","0,019","0,019","0,059","0,114","0,39","0,03","0,033","0,06","0,22","0,458","0,01","0,012","0,05","0,049","0,03","0,04","0,062","0,142","0,352","0,277","0,271","0,173","0,044","0,07","0,034","0,013","0,005","0,013","0,026","0,05","0,039","0,031","0,021"
