Supply_ID,Year,Majority_Type_of_State,Number_of_States
SUPPLY001,2017,0,1
SUPPLY001,2018,0,18
SUPPLY001,2019,0,18
SUPPLY001,2020,0,13
SUPPLY001,2023,0,92
SUPPLY002,2017,1,1
SUPPLY002,2018,0,17
SUPPLY002,2019,0,1
SUPPLY002,2022,0,21
SUPPLY003,2017,1,1
SUPPLY003,2018,0,17
SUPPLY003,2019,0,3
SUPPLY003,2022,0,323
SUPPLY003,2023,0,376
SUPPLY004,2017,1,1
SUPPLY004,2018,1,17
SUPPLY004,2019,0,3
SUPPLY004,2022,0,327
SUPPLY004,2023,0,365
SUPPLY005,2017,1,1
SUPPLY005,2018,1,17
SUPPLY005,2019,1,3
SUPPLY005,2022,0,339
SUPPLY005,2023,0,372
SUPPLY006,2017,1,1
SUPPLY006,2018,1,10
SUPPLY006,2019,1,6
SUPPLY006,2022,0,257
SUPPLY007,2017,0,1
SUPPLY007,2018,0,17
SUPPLY007,2019,0,2
SUPPLY007,2022,0,326
SUPPLY007,2023,0,274
SUPPLY008,2017,0,1
SUPPLY008,2018,0,6
SUPPLY008,2022,0,142
SUPPLY009,2017,1,1
SUPPLY009,2018,0,16
SUPPLY009,2019,0,3
SUPPLY009,2022,0,323
SUPPLY009,2023,0,255
SUPPLY010,2017,1,1
SUPPLY010,2018,1,11
SUPPLY010,2022,1,352
SUPPLY010,2023,0,372
SUPPLY011,2017,1,1
SUPPLY011,2018,1,17
SUPPLY011,2019,1,3
SUPPLY011,2022,1,325
SUPPLY011,2023,0,365
SUPPLY012,2017,1,1
SUPPLY012,2018,1,17
SUPPLY012,2019,1,3
SUPPLY012,2022,0,331
SUPPLY012,2023,0,392
SUPPLY013,2017,1,1
SUPPLY013,2018,1,11
SUPPLY013,2022,0,323
SUPPLY013,2023,0,360
SUPPLY014,2017,1,1
SUPPLY014,2018,1,11
SUPPLY014,2022,0,325
SUPPLY014,2023,0,363
SUPPLY015,2017,1,1
SUPPLY015,2018,1,11
SUPPLY015,2022,1,325
SUPPLY015,2023,0,365
SUPPLY016,2018,25,6
SUPPLY016,2022,0,325
SUPPLY016,2023,0,364
SUPPLY017,2017,1,1
SUPPLY017,2018,1,9
SUPPLY017,2019,1,2
SUPPLY017,2022,0,342
SUPPLY017,2023,0,364
SUPPLY018,2017,1,1
SUPPLY018,2018,1,11
SUPPLY018,2022,1,12
SUPPLY018,2023,1,10
SUPPLY019,2017,1,1
SUPPLY019,2018,1,16
SUPPLY019,2019,1,3
SUPPLY019,2022,1,323
SUPPLY019,2023,1,362
SUPPLY020,2017,1,1
SUPPLY020,2018,0,11
SUPPLY020,2021,1,345
SUPPLY020,2022,1,688
SUPPLY020,2023,1,418
SUPPLY021,2017,1,1
SUPPLY021,2018,0,10
SUPPLY021,2022,0,325
SUPPLY021,2023,0,362
SUPPLY022,2017,0,1
SUPPLY022,2018,0,17
SUPPLY022,2019,0,3
SUPPLY022,2022,0,349
SUPPLY022,2023,0,361
SUPPLY023,2017,1,1
SUPPLY023,2018,1,17
SUPPLY023,2020,1,48
SUPPLY023,2022,1,320
SUPPLY023,2023,1,362
SUPPLY024,2017,0,1
SUPPLY024,2018,0,17
SUPPLY024,2019,0,3
SUPPLY024,2022,0,322
SUPPLY024,2023,0,362
SUPPLY025,2017,0,1
SUPPLY025,2018,0,9
SUPPLY025,2022,0,323
SUPPLY025,2023,0,362
SUPPLY026,2017,1,1
SUPPLY026,2018,1,11
SUPPLY026,2022,0,298
SUPPLY026,2023,0,360
SUPPLY027,2017,0,1
SUPPLY027,2018,0,17
SUPPLY027,2019,0,3
SUPPLY027,2022,1,71
SUPPLY027,2023,1,361
SUPPLY028,2017,1,1
SUPPLY028,2018,1,13
SUPPLY028,2022,1,322
SUPPLY028,2023,1,360
SUPPLY029,2017,1,1
SUPPLY029,2018,1,11
SUPPLY029,2022,1,332
SUPPLY029,2023,0,364
SUPPLY030,2017,1,1
SUPPLY030,2018,0,11
SUPPLY030,2021,0,8
SUPPLY030,2022,0,322
SUPPLY030,2023,0,358
SUPPLY031,2017,0,3
SUPPLY031,2018,0,20
SUPPLY031,2019,0,12
SUPPLY031,2022,0,318
SUPPLY031,2023,0,358
SUPPLY032,2017,1,1
SUPPLY032,2018,1,17
SUPPLY032,2019,1,3
SUPPLY032,2022,1,294
SUPPLY032,2023,1,364
SUPPLY033,2017,0,1
SUPPLY033,2018,0,17
SUPPLY033,2019,0,3
SUPPLY033,2022,0,339
SUPPLY033,2023,0,364
SUPPLY034,2017,0,1
SUPPLY034,2018,1,22
SUPPLY034,2019,1,1
SUPPLY034,2022,1,327
SUPPLY034,2023,1,363
SUPPLY035,2017,1,1
SUPPLY035,2018,25,17
SUPPLY035,2019,25,3
SUPPLY035,2022,0,325
SUPPLY035,2023,0,362
SUPPLY036,2017,1,1
SUPPLY036,2018,1,11
SUPPLY036,2022,1,325
SUPPLY036,2023,0,362
SUPPLY037,2017,1,1
SUPPLY037,2018,1,17
SUPPLY037,2019,1,3
SUPPLY037,2022,1,335
SUPPLY037,2023,1,364
SUPPLY038,2017,1,1
SUPPLY038,2018,1,17
SUPPLY038,2019,25,3
SUPPLY038,2022,1,328
SUPPLY038,2023,1,361
SUPPLY039,2017,1,1
SUPPLY039,2018,1,17
SUPPLY039,2022,0,330
SUPPLY039,2023,0,364
SUPPLY040,2017,1,1
SUPPLY040,2018,1,18
SUPPLY040,2019,28,3
SUPPLY040,2022,0,325
SUPPLY040,2023,0,363
SUPPLY041,2017,0,1
SUPPLY041,2018,0,17
SUPPLY041,2019,0,3
SUPPLY041,2022,0,326
SUPPLY041,2023,0,363
SUPPLY042,2017,1,1
SUPPLY042,2018,1,11
SUPPLY042,2022,1,327
SUPPLY042,2023,1,366
SUPPLY043,2017,0,1
SUPPLY043,2018,0,12
SUPPLY043,2022,0,338
SUPPLY043,2023,0,363
SUPPLY044,2017,1,1
SUPPLY044,2018,1,13
SUPPLY044,2022,1,323
SUPPLY044,2023,1,365
SUPPLY045,2017,0,1
