Supply_ID,Year,Number_of_Interruptions,Majority_Type_of_Interruption,Max,Min,Mean,Std
SUPPLY001,2018,9,1,496,1,200.11,165.3
SUPPLY001,2019,16,1,2955,33,771.25,1040.14
SUPPLY001,2020,15,1,6120,41,1976.53,2059.81
SUPPLY001,2021,9,0,1157,166,443.11,298.88
SUPPLY001,2022,10,0,5193,109,1965.8,1845.35
SUPPLY001,2023,24,0,7164,58,1675.5,2144.02
SUPPLY005,2018,2,1,120,83,101.5,26.16
SUPPLY005,2019,10,0,1623,31,507.5,537.97
SUPPLY005,2020,15,1,471,30,114.0,125.96
SUPPLY005,2021,17,1,1009,19,234.71,272.73
SUPPLY005,2022,11,1,1034,30,250.0,346.39
SUPPLY005,2023,21,1,8027,12,632.57,1728.29
SUPPLY011,2018,1,1,60,60,60.0,0.0
SUPPLY011,2019,1,2,19508,19508,19508.0,0.0
SUPPLY011,2020,1,1,31,31,31.0,0.0
SUPPLY011,2021,8,1,23632,30,3025.62,8326.37
SUPPLY011,2022,8,1,7415,30,1721.38,2867.54
SUPPLY011,2023,11,1,7118,31,750.64,2112.85
SUPPLY031,2018,6,0,9000,31,1630.5,3611.8
SUPPLY031,2019,6,0,470,31,231.5,171.86
SUPPLY031,2020,8,0,876,31,283.38,289.98
SUPPLY031,2021,13,1,17957,30,2631.23,5751.6
SUPPLY031,2022,2,0,163,59,111.0,73.54
SUPPLY031,2023,5,0,472,48,299.6,175.89
SUPPLY048,2018,3,1,8220,30,2779.67,4711.56
SUPPLY048,2019,2,1,33,31,32.0,1.41
SUPPLY048,2020,2,1,254,24,139.0,162.63
SUPPLY048,2022,2,0,338,220,279.0,83.44
SUPPLY048,2023,1,1,22,22,22.0,0.0
SUPPLY056,2018,1,0,5400,5400,5400.0,0.0
SUPPLY056,2020,4,0,17043,232,6722.75,8031.24
SUPPLY056,2021,4,0,438,31,243.75,167.65
SUPPLY056,2022,3,0,9960,122,3453.0,5635.76
SUPPLY056,2023,5,0,10260,31,2275.6,4466.05
SUPPLY059,2018,2,1,262,20,141.0,171.12
SUPPLY059,2019,6,1,7781,1,1403.5,3125.79
SUPPLY059,2020,4,1,16267,120,4422.25,7909.08
SUPPLY059,2021,3,0,15070,31,5183.33,8564.65
SUPPLY059,2022,7,1,165,21,107.43,46.71
SUPPLY059,2023,1,1,31,31,31.0,0.0
SUPPLY060,2022,1,1,207,207,207.0,0.0
SUPPLY078,2018,2,0,16140,1560,8850.0,10309.62
SUPPLY078,2019,9,1,6115,31,1356.0,2095.06
SUPPLY078,2020,8,0,2491,114,790.12,781.69
SUPPLY078,2021,6,0,3177,56,1060.83,1295.73
SUPPLY078,2022,11,0,616,18,238.18,198.46
SUPPLY078,2023,17,0,9251,69,1194.0,2504.8
SUPPLY098,2018,2,0,221,146,183.5,53.03
SUPPLY098,2019,6,0,27597,113,9452.67,13801.74
SUPPLY098,2020,6,2,12960,360,4965.5,5124.99
SUPPLY098,2021,3,0,1622,189,695.33,803.67
SUPPLY098,2022,2,0,10140,215,5177.5,7018.03
SUPPLY098,2023,10,0,2760,134,729.6,835.87
