Supply_ID,Year,Number_of_Works,Majority_Type_of_Work,Majority_Sub_Type_of_Work
SUPPLY001,2020.0,9,0,0
SUPPLY001,2021.0,4,1,1
SUPPLY001,2022.0,5,1,1
SUPPLY001,2023.0,3,1,0
SUPPLY001,2024.0,1,4,5
SUPPLY002,2017.0,1,5,6
SUPPLY002,2021.0,3,3,7
SUPPLY002,2024.0,2,3,3
SUPPLY003,2017.0,2,2,2
SUPPLY003,2021.0,3,3,7
SUPPLY003,2023.0,1,0,8
SUPPLY004,2017.0,1,5,6
SUPPLY004,2021.0,3,3,7
SUPPLY004,2024.0,1,6,1
SUPPLY005,2017.0,1,5,6
SUPPLY005,2021.0,3,3,7
SUPPLY005,2024.0,2,3,3
SUPPLY006,2011.0,2,7,9
SUPPLY006,2014.0,2,7,9
SUPPLY006,2017.0,1,5,6
SUPPLY006,2020.0,2,7,9
SUPPLY006,2021.0,5,3,7
SUPPLY006,2024.0,1,5,5
SUPPLY007,2017.0,1,5,6
SUPPLY007,2021.0,2,3,7
SUPPLY008,2017.0,1,5,6
SUPPLY008,2019.0,2,7,9
SUPPLY008,2021.0,3,3,7
SUPPLY008,2024.0,2,3,3
SUPPLY009,2017.0,1,5,6
SUPPLY009,2021.0,3,3,7
SUPPLY009,2024.0,1,5,5
SUPPLY010,2014.0,2,7,9
SUPPLY010,2017.0,1,5,6
SUPPLY010,2021.0,2,3,7
SUPPLY010,2024.0,7,0,0
SUPPLY011,2017.0,1,5,6
SUPPLY011,2021.0,1,3,7
SUPPLY012,2017.0,1,5,6
SUPPLY012,2020.0,1,2,12
SUPPLY012,2021.0,3,3,7
SUPPLY013,2017.0,1,5,6
SUPPLY013,2021.0,3,3,7
SUPPLY014,2014.0,2,7,9
SUPPLY014,2015.0,1,9,14
SUPPLY014,2017.0,1,5,6
SUPPLY014,2021.0,2,3,7
SUPPLY015,2017.0,4,7,6
SUPPLY015,2019.0,3,7,9
SUPPLY015,2021.0,7,3,7
SUPPLY015,2023.0,2,7,9
SUPPLY015,2024.0,5,7,9
SUPPLY016,2017.0,1,5,6
SUPPLY017,2017.0,1,5,6
SUPPLY018,2017.0,1,5,6
SUPPLY018,2019.0,3,7,9
SUPPLY019,2017.0,1,5,6
SUPPLY019,2018.0,1,2,2
SUPPLY019,2019.0,1,3,16
SUPPLY020,2016.0,1,10,17
SUPPLY020,2017.0,1,5,6
SUPPLY020,2021.0,3,3,7
SUPPLY020,2023.0,1,0,0
SUPPLY021,2017.0,1,5,6
SUPPLY021,2020.0,1,3,7
SUPPLY022,2014.0,3,7,9
SUPPLY022,2017.0,1,5,6
SUPPLY022,2019.0,1,3,3
SUPPLY022,2021.0,2,3,7
SUPPLY022,2022.0,2,7,9
SUPPLY023,2017.0,1,5,6
SUPPLY023,2021.0,3,3,7
SUPPLY024,2021.0,3,3,7
SUPPLY025,2021.0,3,3,7
SUPPLY026,2017.0,1,5,6
