,Supply_ID,mean_x1_days,max_x1_days,min_x1_days,sd_x1_days,mean_x2_days,max_x2_days,min_x2_days,sd_x2_days,mean_x3_days,max_x3_days,min_x3_days,sd_x3_days,mean_x4_days,max_x4_days,min_x4_days,sd_x4_days,mean_x5_days,max_x5_days,min_x5_days,sd_x5_days,mean_x6_days,max_x6_days,min_x6_days,sd_x6_days,mean_x7_days,max_x7_days,min_x7_days,sd_x7_days,mean_x8_days,max_x8_days,min_x8_days,sd_x8_days,mean_x9_days,max_x9_days,min_x9_days,sd_x9_days,mean_x10_days,max_x10_days,min_x10_days,sd_x10_days,mean_x11_days,max_x11_days,min_x11_days,sd_x11_days,mean_x12_days,max_x12_days,min_x12_days,sd_x12_days,mean_x13_days,max_x13_days,min_x13_days,sd_x13_days,mean_x14_days,max_x14_days,min_x14_days,sd_x14_days,mean_x15_days,max_x15_days,min_x15_days,sd_x15_days,mean_x16_days,max_x16_days,min_x16_days,sd_x16_days,mean_x17_days,max_x17_days,min_x17_days,sd_x17_days,mean_x18_days,max_x18_days,min_x18_days,sd_x18_days,mean_x19_days,max_x19_days,min_x19_days,sd_x19_days,mean_x20_days,max_x20_days,min_x20_days,sd_x20_days,mean_x21_days,max_x21_days,min_x21_days,sd_x21_days,mean_x22_days,max_x22_days,min_x22_days,sd_x22_days,mean_x23_days,max_x23_days,min_x23_days,sd_x23_days,mean_x24_days,max_x24_days,min_x24_days,sd_x24_days,mean_x25_days,max_x25_days,min_x25_days,sd_x25_days,mean_x26_days,max_x26_days,min_x26_days,sd_x26_days,mean_x27_days,max_x27_days,min_x27_days,sd_x27_days,mean_x28_days,max_x28_days,min_x28_days,sd_x28_days,mean_x29_days,max_x29_days,min_x29_days,sd_x29_days,mean_x30_days,max_x30_days,min_x30_days,sd_x30_days,mean_x31_days,max_x31_days,min_x31_days,sd_x31_days,mean_x32_days,max_x32_days,min_x32_days,sd_x32_days,mean_x33_days,max_x33_days,min_x33_days,sd_x33_days,mean_x34_days,max_x34_days,min_x34_days,sd_x34_days,mean_x35_days,max_x35_days,min_x35_days,sd_x35_days,mean_x36_days,max_x36_days,min_x36_days,sd_x36_days,mean_x37_days,max_x37_days,min_x37_days,sd_x37_days,mean_x38_days,max_x38_days,min_x38_days,sd_x38_days,mean_x39_days,max_x39_days,min_x39_days,sd_x39_days,mean_x40_days,max_x40_days,min_x40_days,sd_x40_days
0,SUPPLY001,0.4577,0.458,0.457,0.00048304589153964835,0.32749999999999996,0.458,0.294,0.0687802458720687,0.29479999999999995,0.295,0.294,0.00042163702135578426,0.29479999999999995,0.295,0.294,0.00042163702135578426,0.39149999999999996,0.458,0.294,0.08329499117927536,0.45230000000000004,0.453,0.452,0.00048304589153964835,0.45230000000000004,0.453,0.452,0.00048304589153964835,0.45230000000000004,0.453,0.452,0.00048304589153964835,0.45230000000000004,0.453,0.452,0.00048304589153964835,0.4567,0.458,0.452,0.002263232692902396,0.42519999999999997,0.458,0.295,0.06862263960725111,0.2948,0.295,0.294,0.00042163702135578426,0.2948,0.295,0.294,0.00042163702135578426,0.2948,0.295,0.294,0.00042163702135578426,0.4545,0.458,0.452,0.002838231060987736,0.45230000000000004,0.453,0.452,0.0004830458915396483,0.45230000000000004,0.453,0.452,0.0004830458915396483,0.45230000000000004,0.453,0.452,0.0004830458915396483,0.4534000000000001,0.458,0.452,0.0022211108331943595,0.45780000000000004,0.458,0.457,0.00042163702135578426,0.36,0.458,0.294,0.08413085046521283,0.2948,0.295,0.294,0.00042163702135578426,0.2948,0.295,0.294,0.00042163702135578426,0.36000000000000004,0.458,0.294,0.08413085046521285,0.45780000000000004,0.458,0.457,0.00042163702135578426,0.4577,0.458,0.457,0.0004830458915396484,0.45780000000000004,0.458,0.457,0.0004216370213557843,0.45780000000000004,0.458,0.457,0.00042163702135578426,0.45780000000000004,0.458,0.457,0.00042163702135578426,0.45780000000000004,0.458,0.457,0.00042163702135578426,0.2949,0.295,0.294,0.0003162277660168382,0.29479999999999995,0.295,0.294,0.00042163702135578426,0.29479999999999995,0.295,0.294,0.00042163702135578426,0.29479999999999995,0.295,0.294,0.00042163702135578426,0.29479999999999995,0.295,0.294,0.00042163702135578426,0.29479999999999995,0.295,0.294,0.00042163702135578426,0.2948,0.295,0.294,0.00042163702135578426,0.2948,0.295,0.294,0.00042163702135578426,0.2948,0.295,0.294,0.00042163702135578426,0.2949,0.295,0.294,0.0003162277660168382
1,SUPPLY002,0.09269999999999999,0.093,0.092,0.0004830458915396484,0.0718,0.093,0.066,0.011183320914051722,0.06639999999999999,0.067,0.066,0.0005163977794943227,0.06640000000000001,0.067,0.066,0.0005163977794943226,0.07570000000000002,0.093,0.06,0.014892578315687612,0.059800000000000006,0.06,0.059,0.00042163702135578426,0.059699999999999996,0.06,0.059,0.0004830458915396484,0.059800000000000006,0.06,0.059,0.00042163702135578426,0.059800000000000006,0.06,0.059,0.00042163702135578426,0.08609999999999998,0.093,0.059,0.014027354229029319,0.0875,0.093,0.066,0.011078006238589242,0.06640000000000001,0.067,0.066,0.0005163977794943226,0.0665,0.067,0.066,0.0005270462766947305,0.06640000000000001,0.067,0.066,0.0005163977794943226,0.073,0.093,0.059,0.017003267659809133,0.059800000000000006,0.06,0.059,0.00042163702135578426,0.059800000000000006,0.06,0.059,0.00042163702135578426,0.059699999999999996,0.06,0.059,0.0004830458915396484,0.06649999999999999,0.093,0.059,0.013970206393130586,0.0928,0.093,0.092,0.0004216370213557843,0.077,0.093,0.066,0.013564659966250534,0.06640000000000001,0.067,0.066,0.0005163977794943226,0.0665,0.067,0.066,0.0005270462766947305,0.0769,0.093,0.066,0.01364998982498603,0.0928,0.093,0.092,0.0004216370213557843,0.09269999999999999,0.093,0.092,0.0004830458915396484,0.0928,0.093,0.092,0.0004216370213557843,0.0928,0.093,0.092,0.0004216370213557843,0.0928,0.093,0.092,0.0004216370213557843,0.0928,0.093,0.092,0.0004216370213557843,0.0665,0.067,0.066,0.0005270462766947305,0.06640000000000001,0.067,0.066,0.0005163977794943226,0.0665,0.067,0.066,0.0005270462766947305,0.06640000000000001,0.067,0.066,0.0005163977794943226,0.06640000000000001,0.067,0.066,0.0005163977794943226,0.0665,0.067,0.066,0.0005270462766947305,0.06640000000000001,0.067,0.066,0.0005163977794943226,0.0665,0.067,0.066,0.0005270462766947305,0.06640000000000001,0.067,0.066,0.0005163977794943226,0.0665,0.067,0.066,0.0005270462766947305
2,SUPPLY003,0.6262999999999999,0.99,0.228,0.26036045526666807,0.4304,0.959,0.106,0.2898847280481598,0.12,0.184,0.079,0.02739424108173914,0.1473,0.368,0.06,0.10692058319664699,0.21590000000000004,0.405,0.036,0.14080123894656926,0.1288,0.351,0.047,0.10971052820946584,0.2973,0.493,0.084,0.13817384380233153,0.6243,0.96,0.398,0.19305672741450888,0.2779,0.489,0.133,0.14113700987181055,0.252,0.464,0.137,0.11160446028522139,0.7983,1.275,0.269,0.37592435704835914,0.17450000000000002,0.303,0.088,0.08319488499234126,0.0815,0.138,0.049,0.024595618399309346,0.23220000000000002,0.409,0.057,0.13793702266694835,0.3584,0.546,0.125,0.11705952901551131,0.25850000000000006,0.56,0.05,0.16873137757328296,0.4244,0.771,0.08,0.24221441373754415,0.4631,0.759,0.3,0.15233475564616825,0.46299999999999997,0.828,0.212,0.22044450044802155,0.6740999999999999,1.056,0.254,0.3069565477754502,0.5319,0.844,0.243,0.17211459360941284,0.17750000000000002,0.39,0.066,0.12392582907171172,0.2843,0.514,0.08,0.14754814656767315,0.3717,0.627,0.3,0.10465822683594656,0.6242,1.183,0.146,0.37252883557294375,0.2049,0.363,0.112,0.08411427412223867,0.40049999999999997,0.656,0.136,0.21582104212106432,0.4112,1.024,0.118,0.2677904653517995,0.4434,0.838,0.164,0.20000344441478443,0.7615,1.164,0.232,0.2823588142771534,0.25889999999999996,0.553,0.119,0.1629467874968867,0.10880000000000001,0.429,0.052,0.11507466175391425,0.09899999999999999,0.271,0.046,0.0664345960743012,0.22810000000000002,0.443,0.044,0.1344688728954689,0.32389999999999997,0.78,0.048,0.28281106767593095,0.5091,0.696,0.347,0.12978995852273523,0.6477999999999999,1.021,0.444,0.1893578622608525,0.7359,1.027,0.455,0.21280426583025905,0.4665000000000001,0.783,0.173,0.20821743442853194,0.2698,0.491,0.169,0.09407892667566124
3,SUPPLY004,0.0117,0.017,0.007,0.004571651780264985,0.009400000000000002,0.017,0.004,0.006149977416399366,0.0097,0.033,0.004,0.008907549856410821,0.004399999999999999,0.005,0.004,0.0005163977794943223,0.0068000000000000005,0.011,0.004,0.0026997942308422114,0.0062,0.007,0.005,0.000632455532033676,0.007300000000000001,0.029,0.004,0.007645623294117726,0.005599999999999999,0.01,0.004,0.0023664319132398466,0.008499999999999999,0.013,0.004,0.003027650354097491,0.0091,0.013,0.007,0.0020248456731316584,0.0119,0.054,0.004,0.014903019828209317,0.0062,0.023,0.004,0.0059217114643206545,0.0045000000000000005,0.005,0.004,0.0005270462766947299,0.0063,0.008,0.005,0.0012516655570345724,0.0073999999999999995,0.011,0.004,0.0021705094128132937,0.007000000000000001,0.01,0.004,0.0027888667551135846,0.0075,0.012,0.004,0.0033747427885527643,0.009,0.014,0.005,0.0032317865716108857,0.014000000000000002,0.019,0.011,0.002666666666666666,0.0193,0.062,0.008,0.01609727375123571,0.0050999999999999995,0.008,0.004,0.0013703203194062978,0.004300000000000001,0.005,0.004,0.00048304589153964797,0.0045000000000000005,0.007,0.004,0.0009718253158075501,0.006500000000000001,0.008,0.004,0.001269295517643985,0.011400000000000002,0.042,0.005,0.010986860839708089,0.0048000000000000004,0.006,0.004,0.000632455532033676,0.0078,0.015,0.004,0.004131182235954578,0.009,0.012,0.004,0.0025819888974716113,0.0119,0.017,0.008,0.003541813722437199,0.0216,0.067,0.008,0.016906277598046894,0.0129,0.017,0.004,0.005933895104491747,0.0043,0.005,0.004,0.00048304589153964797,0.004300000000000001,0.005,0.004,0.00048304589153964797,0.007300000000000001,0.01,0.004,0.0022135943621178654,0.0045000000000000005,0.005,0.004,0.0005270462766947299,0.0075,0.012,0.004,0.0034399612400917152,0.0107,0.015,0.006,0.003128720008068617,0.010600000000000002,0.014,0.007,0.0029135697844549545,0.0078,0.009,0.007,0.0006324555320336757,0.011899999999999997,0.02,0.007,0.005021066730398144
4,SUPPLY005,0.0042,0.007,0.003,0.0012292725943057184,0.0035000000000000005,0.005,0.003,0.0007071067811865475,0.004,0.006,0.003,0.0012472191289246471,0.0037000000000000006,0.009,0.003,0.0018885620632287054,0.0035000000000000005,0.004,0.003,0.0005270462766947299,0.0047,0.009,0.002,0.0020575065816014616,0.0035000000000000005,0.006,0.002,0.0010801234497346433,0.0026999999999999997,0.005,0.002,0.0009486832980505138,0.0045,0.009,0.002,0.0019578900207451217,0.0084,0.02,0.002,0.0062751715337333825,0.0047,0.012,0.002,0.00298328677803526,0.003,0.004,0.002,0.0006666666666666666,0.0032,0.006,0.002,0.0013165611772087667,0.0028,0.005,0.002,0.0011352924243950935,0.003,0.005,0.002,0.0009428090415820634,0.0037000000000000006,0.006,0.002,0.0014181364924121765,0.0032,0.006,0.002,0.0012292725943057184,0.0029000000000000002,0.006,0.002,0.0011972189997378647,0.0032,0.005,0.002,0.0009189365834726814,0.0044,0.008,0.002,0.0017126976771553505,0.004,0.007,0.002,0.0014907119849998597,0.003,0.004,0.002,0.0006666666666666668,0.0037000000000000006,0.007,0.003,0.0013374935098492587,0.0038000000000000004,0.006,0.002,0.0013984117975602021,0.003,0.006,0.002,0.0012472191289246471,0.0025,0.004,0.002,0.0007071067811865476,0.0032,0.009,0.002,0.002097617696340303,0.0057,0.014,0.002,0.004191260749066642,0.0056,0.009,0.003,0.002270584848790187,0.0062,0.012,0.003,0.0031198290551460238,0.0030999999999999995,0.006,0.002,0.0011005049346146118,0.0028000000000000004,0.005,0.002,0.0009189365834726814,0.0028,0.005,0.002,0.0012292725943057184,0.0031,0.008,0.002,0.0018529256146249727,0.0025,0.004,0.002,0.0007071067811865475,0.0028,0.005,0.002,0.0009189365834726814,0.0030000000000000005,0.007,0.002,0.001563471919941143,0.0039000000000000007,0.009,0.003,0.0018529256146249727,0.004400000000000001,0.008,0.003,0.0013498971154211061,0.004400000000000001,0.007,0.003,0.0011737877907772672
5,SUPPLY006,0.0603,0.061,0.06,0.00048304589153964835,0.059699999999999996,0.061,0.059,0.0008232726023485653,0.0593,0.06,0.059,0.00048304589153964835,0.0593,0.06,0.059,0.00048304589153964835,0.052700000000000004,0.063,0.023,0.015434809144700601,0.0232,0.024,0.023,0.0004216370213557843,0.0231,0.024,0.023,0.0003162277660168382,0.0232,0.024,0.023,0.0004216370213557843,0.0232,0.024,0.023,0.0004216370213557843,0.05289999999999999,0.061,0.023,0.015502329574042161,0.06019999999999999,0.061,0.059,0.0006324555320336764,0.0595,0.061,0.059,0.0007071067811865481,0.05919999999999999,0.06,0.059,0.00042163702135578426,0.0593,0.06,0.059,0.00048304589153964835,0.0382,0.063,0.023,0.019429645161739603,0.0232,0.024,0.023,0.0004216370213557843,0.0232,0.024,0.023,0.0004216370213557843,0.0232,0.024,0.023,0.0004216370213557843,0.030699999999999998,0.061,0.023,0.01571305189961517,0.06020000000000001,0.061,0.06,0.0004216370213557843,0.059999999999999984,0.061,0.059,0.0008164965809277268,0.0593,0.06,0.059,0.00048304589153964835,0.0593,0.06,0.059,0.00048304589153964835,0.059899999999999995,0.063,0.059,0.00128668393770792,0.0603,0.061,0.06,0.00048304589153964835,0.06039999999999999,0.061,0.06,0.0005163977794943227,0.0603,0.061,0.06,0.00048304589153964835,0.06039999999999999,0.061,0.06,0.0005163977794943227,0.0603,0.061,0.06,0.00048304589153964835,0.06039999999999999,0.061,0.06,0.0005163977794943227,0.0595,0.061,0.059,0.0007071067811865481,0.0593,0.06,0.059,0.00048304589153964835,0.05940000000000001,0.06,0.059,0.0005163977794943226,0.0593,0.06,0.059,0.00048304589153964835,0.0593,0.06,0.059,0.00048304589153964835,0.0593,0.06,0.059,0.00048304589153964835,0.05940000000000001,0.06,0.059,0.0005163977794943226,0.0593,0.06,0.059,0.00048304589153964835,0.0593,0.06,0.059,0.00048304589153964835,0.05940000000000001,0.06,0.059,0.0005163977794943226
6,SUPPLY007,0.0011000000000000003,0.002,0.001,0.0003162277660168379,0.0066,0.008,0.001,0.0027162065049951153,0.007800000000000001,0.008,0.007,0.00042163702135578394,0.0079,0.008,0.007,0.000316227766016838,0.0037000000000000006,0.008,0.001,0.003497618237219914,0.0012000000000000001,0.002,0.001,0.0004216370213557839,0.0012000000000000001,0.002,0.001,0.00042163702135578394,0.0011000000000000003,0.002,0.001,0.0003162277660168379,0.0012000000000000001,0.002,0.001,0.0004216370213557839,0.0012000000000000001,0.002,0.001,0.00042163702135578383,0.0025,0.008,0.001,0.0029154759474226497,0.007800000000000001,0.008,0.007,0.00042163702135578394,0.007800000000000001,0.008,0.007,0.0004216370213557839,0.0079,0.008,0.007,0.000316227766016838,0.0010999999999999998,0.002,0.001,0.000316227766016838,0.0011000000000000003,0.002,0.001,0.0003162277660168379,0.0012000000000000001,0.002,0.001,0.0004216370213557839,0.0012000000000000001,0.002,0.001,0.00042163702135578394,0.0011000000000000003,0.002,0.001,0.0003162277660168379,0.0011000000000000003,0.002,0.001,0.0003162277660168379,0.0052,0.008,0.001,0.003425395354310701,0.0079,0.008,0.007,0.000316227766016838,0.007800000000000001,0.008,0.007,0.00042163702135578394,0.005200000000000001,0.008,0.001,0.003425395354310701,0.0011000000000000003,0.002,0.001,0.00031622776601683794,0.0011000000000000003,0.002,0.001,0.0003162277660168379,0.0011000000000000003,0.002,0.001,0.0003162277660168379,0.0011000000000000003,0.002,0.001,0.0003162277660168379,0.0011000000000000003,0.002,0.001,0.0003162277660168379,0.0012000000000000001,0.002,0.001,0.0004216370213557839,0.014100000000000001,0.07,0.007,0.019643771984468206,0.007800000000000001,0.008,0.007,0.00042163702135578394,0.0079,0.008,0.007,0.000316227766016838,0.007800000000000001,0.008,0.007,0.00042163702135578394,0.007800000000000001,0.008,0.007,0.0004216370213557839,0.0079,0.008,0.007,0.000316227766016838,0.007800000000000001,0.008,0.007,0.0004216370213557839,0.0079,0.008,0.007,0.000316227766016838,0.007800000000000001,0.008,0.007,0.00042163702135578394,0.0079,0.008,0.007,0.000316227766016838
7,SUPPLY008,0.03250000000000001,0.033,0.032,0.0005270462766947304,0.0395,0.042,0.033,0.003439961240091716,0.0411,0.042,0.041,0.0003162277660168382,0.0411,0.042,0.041,0.0003162277660168382,0.03630000000000001,0.042,0.032,0.0043217794688967855,0.034100000000000005,0.035,0.034,0.00031622776601683816,0.034100000000000005,0.035,0.034,0.0003162277660168382,0.034100000000000005,0.035,0.034,0.0003162277660168382,0.03400000000000001,0.034,0.034,7.314236392868128e-18,0.032900000000000006,0.035,0.032,0.0009944289260117541,0.0343,0.041,0.032,0.0035605867181937555,0.0412,0.042,0.041,0.0004216370213557843,0.0411,0.042,0.041,0.0003162277660168382,0.0411,0.042,0.041,0.0003162277660168382,0.033400000000000006,0.034,0.032,0.0008432740427115686,0.034100000000000005,0.035,0.034,0.0003162277660168382,0.034100000000000005,0.035,0.034,0.0003162277660168382,0.03400000000000001,0.034,0.034,7.314236392868128e-18,0.03380000000000001,0.035,0.032,0.0007888106377466161,0.032600000000000004,0.033,0.032,0.0005163977794943227,0.0378,0.042,0.032,0.0043665394383500845,0.0411,0.042,0.041,0.0003162277660168382,0.0412,0.042,0.041,0.0004216370213557843,0.03770000000000001,0.042,0.032,0.004498147766951785,0.032600000000000004,0.033,0.032,0.0005163977794943227,0.03250000000000001,0.033,0.032,0.0005270462766947304,0.032600000000000004,0.033,0.032,0.0005163977794943227,0.032600000000000004,0.033,0.032,0.0005163977794943227,0.032600000000000004,0.033,0.032,0.0005163977794943227,0.03250000000000001,0.033,0.032,0.0005270462766947304,0.0411,0.042,0.041,0.0003162277660168382,0.0411,0.042,0.041,0.0003162277660168382,0.0412,0.042,0.041,0.0004216370213557843,0.0411,0.042,0.041,0.0003162277660168382,0.0411,0.042,0.041,0.0003162277660168382,0.0412,0.042,0.041,0.0004216370213557843,0.0411,0.042,0.041,0.0003162277660168382,0.0411,0.042,0.041,0.0003162277660168382,0.0412,0.042,0.041,0.0004216370213557843,0.0411,0.042,0.041,0.0003162277660168382
8,SUPPLY009,0.0964,0.097,0.096,0.0005163977794943227,0.08369999999999998,0.096,0.08,0.006498717822257968,0.08059999999999999,0.081,0.08,0.0005163977794943226,0.08059999999999999,0.081,0.08,0.0005163977794943226,0.08559999999999998,0.097,0.074,0.009720539536923294,0.07419999999999999,0.075,0.074,0.0004216370213557843,0.07419999999999999,0.075,0.074,0.00042163702135578426,0.07419999999999999,0.075,0.074,0.00042163702135578426,0.07409999999999999,0.075,0.074,0.0003162277660168382,0.0919,0.097,0.074,0.009445163371329855,0.0933,0.097,0.08,0.006766748767974831,0.08059999999999999,0.081,0.08,0.0005163977794943226,0.08059999999999999,0.081,0.08,0.0005163977794943226,0.08059999999999999,0.081,0.08,0.0005163977794943226,0.08299999999999999,0.097,0.074,0.011411495179082463,0.07409999999999999,0.075,0.074,0.0003162277660168382,0.07419999999999999,0.075,0.074,0.0004216370213557843,0.07409999999999999,0.075,0.074,0.0003162277660168382,0.07859999999999999,0.097,0.074,0.009442221960722783,0.0964,0.097,0.096,0.0005163977794943227,0.08689999999999999,0.097,0.08,0.008279157230325105,0.08059999999999999,0.081,0.08,0.0005163977794943226,0.08059999999999999,0.081,0.08,0.0005163977794943226,0.08679999999999999,0.097,0.08,0.008148619514985345,0.0964,0.097,0.096,0.0005163977794943227,0.0964,0.097,0.096,0.0005163977794943227,0.0965,0.097,0.096,0.0005270462766947305,0.0964,0.097,0.096,0.0005163977794943227,0.0964,0.097,0.096,0.0005163977794943227,0.0964,0.097,0.096,0.0005163977794943227,0.08059999999999999,0.081,0.08,0.0005163977794943226,0.08059999999999999,0.081,0.08,0.0005163977794943226,0.08059999999999999,0.081,0.08,0.0005163977794943226,0.08059999999999999,0.081,0.08,0.0005163977794943226,0.08059999999999999,0.081,0.08,0.0005163977794943226,0.08049999999999999,0.081,0.08,0.0005270462766947305,0.08059999999999999,0.081,0.08,0.0005163977794943226,0.08059999999999999,0.081,0.08,0.0005163977794943226,0.08059999999999999,0.081,0.08,0.0005163977794943226,0.08059999999999999,0.081,0.08,0.0005163977794943226
9,SUPPLY010,0.0048000000000000004,0.006,0.004,0.0006324555320336759,0.008000000000000002,0.013,0.005,0.002449489742783178,0.005200000000000001,0.006,0.003,0.0011352924243950935,0.0036000000000000003,0.004,0.003,0.0005163977794943222,0.0054,0.009,0.004,0.0017763883459298968,0.0038000000000000004,0.004,0.003,0.0004216370213557839,0.0054,0.011,0.004,0.002221110833194358,0.006,0.012,0.003,0.0028674417556808756,0.006500000000000001,0.011,0.003,0.002635231383473649,0.0052,0.01,0.002,0.0026997942308422114,0.0079,0.014,0.005,0.0024698178070456937,0.0075000000000000015,0.012,0.004,0.002592724864350674,0.0035000000000000005,0.004,0.003,0.0005270462766947299,0.0036000000000000003,0.004,0.003,0.0005163977794943222,0.0053,0.009,0.004,0.001766981104093143,0.0040999999999999995,0.005,0.003,0.0005676462121975467,0.011300000000000001,0.019,0.003,0.004498147766951785,0.005200000000000001,0.01,0.002,0.002250925735484551,0.0058,0.011,0.003,0.002485513584307633,0.0044,0.008,0.002,0.0017126976771553507,0.0031,0.006,0.001,0.001728840330651992,0.0037000000000000006,0.004,0.003,0.0004830458915396479,0.0046,0.008,0.003,0.001505545305418162,0.0037000000000000006,0.004,0.003,0.0004830458915396479,0.0050999999999999995,0.012,0.003,0.002726414006223804,0.0066,0.01,0.004,0.002503331114069145,0.005300000000000001,0.008,0.004,0.0015670212364724211,0.0060999999999999995,0.008,0.005,0.0011972189997378647,0.005,0.009,0.0,0.002449489742783178,0.0045000000000000005,0.007,0.003,0.0017159383568311668,0.0131,0.019,0.005,0.003604010112206802,0.0093,0.015,0.007,0.0024966644414765337,0.004400000000000001,0.007,0.003,0.0011737877907772672,0.0037000000000000006,0.004,0.003,0.00048304589153964797,0.009400000000000002,0.011,0.007,0.0015055453054181617,0.0075000000000000015,0.008,0.007,0.0005270462766947299,0.009799999999999998,0.011,0.007,0.0015491933384829664,0.0048000000000000004,0.009,0.002,0.0025733678754158375,0.0017000000000000001,0.002,0.001,0.00048304589153964797,0.0018000000000000002,0.002,0.001,0.00042163702135578394
